fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
candida antigen,candida antigen,candida antigen,,,
carbamazapine,carbamazapine,carbamazapine,,,
carbamazepine aellc,carbamazepine aellc,carbamazepine aellc,,,
carboplatin unknown,carboplatin unknown,carboplatin unknown,,,
carboplatine hospira,carboplatine hospira,carboplatine hospira,,,
carmen,carmen,carmen,,,
catapresan,catapresan,catapresan,,,
catapressan,catapressan,catapressan,,,
cefuroxim,cefuroxim,cefuroxim,,,
cefuroximratiopharm 125 mg5 ml ts,cefuroximratiopharm 125 mg5 ml ts,cefuroximratiopharm 125 mg5 ml ts,,,
cephalosporin,cephalosporin,cephalosporin,,,
chlorhydrate de propranolol,chlorhydrate de propranolol,chlorhydrate de propranolol,,,
chlorure de potassium,chlorure de potassium,chlorure de,,,
ciclofosfamida,ciclofosfamida,ciclofosfamida,,,
ciclosporin,ciclosporin,ciclosporin,,,
ciclosporin a,ciclosporin a,ciclosporin a,,,
ciclosporin capsules 10 mg mylan,ciclosporin 10 mg mylan,ciclosporin 10 mg mylan,,,
ciclosporin a,ciclosporin a,ciclosporin a,,,
circadin,circadin,circadin,,,
clenil,clenil,clenil,,,
clozapin,clozapin,clozapin,,,
coaprovel,coaprovel,coaprovel,,,
colecalciferol,colecalciferol,colecalciferol,,,
concentrated sodium chloride,concentrated sodium chloride,concentrated chloride,,,
cyanocobalamine,cyanocobalamine,cyanocobalamine,,,
cyclosporin a,cyclosporin a,cyclosporin a,,,
cymevan,cymevan,cymevan,,,
d vitadrops 400 ml major,d vitadrops 400 ml major,d vitadrops 400 ml major,,,
dcycloserine,dcycloserine,dcycloserine,,,
dacin,dacin,dacin,,,
dafalgan,dafalgan,dafalgan,,,
dafalgan codeine,dafalgan codeine,dafalgan codeine,,,
dafiro hct,dafiro hct,dafiro hct,,,
daikenchuto,daikenchuto,daikenchuto,,,
dalacine,dalacine,dalacine,,,
dalsy sirup,dalsy sirup,dalsy sirup,,,
datscan,datscan,datscan,,,
daunoblastina,daunoblastina,daunoblastina,,,
daunomycin,daunomycin,daunomycin,,,
daunomycin 00128201,daunomycin 00128201,daunomycin 00128201,,,
dds,dds,dds,,,
decapeptyl,decapeptyl,decapeptyl,,,
decapeptyl 00486501,decapeptyl 00486501,decapeptyl 00486501,,,
decortin h,decortin h,decortin h,,,
decortinh prednisolone,decortinh prednisolone,decortinh prednisolone,,,
dehydroandrographolide succinate potassium so,dehydroandrographolide succinate potassium so,dehydroandrographolide so,,,
dekristol,dekristol,dekristol,,,
delamanid,delamanid,delamanid,,,
delflex,delflex,delflex,,,
delix,delix,delix,,,
delorazepam,delorazepam,delorazepam,,,
deltacortene,deltacortene,deltacortene,,,
deltacortene 5 mg compresse,deltacortene 5 mg compresse,deltacortene 5 mg compresse,,,
depakin,depakin,depakin,,,
depakine,depakine,depakine,,,
depakine 00228501,depakine 00228501,depakine 00228501,,,
depakine chrono,depakine chrono,depakine chrono,,,
depakine chronosphere,depakine chronosphere,depakine chronosphere,,,
depamide,depamide,depamide,,,
depamide 300 mg magensaftresistente filmtablette,depamide 300 mg magensaftresistente filmtablette,depamide 300 mg magensaftresistente filmtablette,,,
depamide 300 mg comprime pellicule gastroresistant,depamide 300 mg comprime pellicule gastroresistant,depamide 300 mg comprime pellicule gastroresistant,,,
depas,depas,depas,,,
depo clinovir,depo clinovir,depo clinovir,,,
deroxat,deroxat,deroxat,,,
deroxat 20 mg comprime pellicule secable,deroxat 20 mg comprime pellicule secable,deroxat 20 mg comprime pellicule secable,,,
detensiel,detensiel,detensiel,,,
dexametasona 722a,dexametasona 722a,dexametasona 722a,,,
dexaven,dexaven,dexaven,,,
dexmedetomidine manufacturer unknown,dexmedetomidine manufacturer unknown,dexmedetomidine manufacturer unknown,,,
dexmedetomidine mylan,dexmedetomidine mylan,dexmedetomidine mylan,,,
dexmedetomidinedexmedetomidine hydrochloride,dexmedetomidinedexmedetomidine hydrochloride,dexmedetomidinedexmedetomidine,,,
dextroamphet saccharat amphet aspartate dextroamphet sulfate and amphet sulfat,dextroamphet saccharat amphet aspartate dextroamphet sulfate and amphet sulfat,dextroamphet saccharat amphet aspartate dextroamphet and amphet sulfat,,,
dextroamphetamine saccharate amphetamine aspartate dextroamphetamine sulfate and amphetamine sulfate,dextroamphetamine saccharate amphetamine aspartate dextroamphetamine sulfate and amphetamine sulfate,dextroamphetamine saccharate amphetamine aspartate dextroamphetamine and amphetamine,,,
dextrosa al 10 usp,dextrosa al 10 usp,dextrosa al 10 usp,,,
dextrose,dextrose,dextrose,,,
dextrose d5w,dextrose d5w,dextrose d5w,,,
dextrose 50 usp,dextrose 50 usp,dextrose 50 usp,,,
dextrose monohydratesodium chloride,dextrose monohydratesodium chloride,dextrose monohydratesodium chloride,,,
dextrose,dextrose,dextrose,,,
dextrosepotassium chloridesodium chloride,dextrosepotassium chloridesodium chloride,dextrosepotassium chloridesodium chloride,,,
dextrosepotassium chloridesodium chloridesodium citrate,dextrosepotassium chloridesodium chloridesodium citrate,dextrosepotassium chloridesodium chloridesodium citrate,,,
dextrosesodium chloride,dextrosesodium chloride,dextrosesodium chloride,,,
dianeal low calcium ultrabag,dianeal low calcium ultrabag,dianeal low ultrabag,,,
dianeal low calcium peritoneal dialysis solution with dextrose,dianeal low calcium peritoneal dialysis with dextrose,dianeal low peritoneal dialysis with dextrose,,,
dianeal low calcium with dextrose,dianeal low calcium with dextrose,dianeal low with dextrose,,,
dianeal pd2 peritoneal dialysis solution with dextrose,dianeal pd2 peritoneal dialysis with dextrose,dianeal pd2 peritoneal dialysis with dextrose,,,
dianeal pd2 with dextrose,dianeal pd2 with dextrose,dianeal pd2 with dextrose,,,
dianeal pd2,dianeal pd2,dianeal pd2,,,
diapp,diapp,diapp,,,
diazgel,diazgel,diazgel,,,
diclac,diclac,diclac,,,
diclectin,diclectin,diclectin,,,
dicloreum,dicloreum,dicloreum,,,
dicloreum 00372301,dicloreum 00372301,dicloreum 00372301,,,
dietary supplement,dietary supplement,dietary supplement,,,
dietary supplementresveratrol,dietary supplementresveratrol,dietary supplementresveratrol,,,
diffu k,diffu k,diffu k,,,
diffuk,diffuk,diffuk,,,
diffu k,diffu k,diffu k,,,
diphtheria and tetanus toxoids adsorbed nos,diphtheria and tetanus toxoids adsorbed nos,diphtheria and tetanus toxoids adsorbed nos,,,
diphtheria and tetanus toxoids and acellular pertussis adsorbed inactivated poliovirus and haemophilus b conjugate and hepatitis b virus vaccine,diphtheria and tetanus toxoids and acellular pertussis adsorbed inactivated poliovirus and haemophilus b conjugate and hepatitis b virus vaccine,diphtheria and tetanus toxoids and acellular pertussis adsorbed inactivated poliovirus and haemophilus b conjugate and hepatitis b virus vaccine,,,
diphtheria and tetanus toxoids and pertussis vaccine and haemophilus b polysaccharide vaccine and poliovirus vaccine nos,diphtheria and tetanus toxoids and pertussis vaccine and haemophilus b polysaccharide vaccine and poliovirus vaccine nos,diphtheria and tetanus toxoids and pertussis vaccine and haemophilus b polysaccharide vaccine and poliovirus vaccine nos,,,
dipidolor,dipidolor,dipidolor,,,
dipiperon,dipiperon,dipiperon,,,
diproderm,diproderm,diproderm,,,
divya swarna vasant malti herbals,divya swarna vasant malti herbals,divya swarna vasant malti herbals,,,
divya tamra bhasma copper,divya tamra bhasma copper,divya tamra bhasma copper,,,
dobutabag 4000 mcgml,dobutabag 4000 mcgml,dobutabag 4000 mcgml,,,
dogmatyl,dogmatyl,dogmatyl,,,
dolantina,dolantina,dolantina,,,
doliprane,doliprane,doliprane,,,
dolormin,dolormin,dolormin,,,
dominal 00002701,dominal 00002701,dominal 00002701,,,
dominal forte,dominal forte,dominal forte,,,
donormyl doxylamine succinate,donormyl doxylamine succinate,donormyl doxylamine,,,
donormyl doxylamine succinatesodium phosphate dibasicsodium bromidesodium sulfate,donormyl doxylamine succinatesodium phosphate dibasicsodium bromidesodium sulfate,donormyl doxylamine succinatesodium dibasicsodium bromidesodium,,,
dopegyt,dopegyt,dopegyt,,,
dotarem,dotarem,dotarem,,,
dpt,dpt,dpt,,,
dtpa ipv hib vaccine,dtpa ipv hib vaccine,dtpa ipv hib vaccine,,,
duotrav bac,duotrav bac,duotrav bac,,,
durogesic,durogesic,durogesic,,,
durogesic dtrans,durogesic dtrans,durogesic dtrans,,,
durotep mt,durotep mt,durotep mt,,,
dalacin c,dalacin c,dalacin c,,,
dalacine,dalacine,dalacine,,,
daunoblastina,daunoblastina,daunoblastina,,,
delursan,delursan,delursan,,,
denosine,denosine,denosine,,,
denosine japan,denosine japan,denosine japan,,,
depakine,depakine,depakine,,,
depakine chrono,depakine chrono,depakine chrono,,,
depamide,depamide,depamide,,,
deroxat,deroxat,deroxat,,,
desametasone,desametasone,desametasone,,,
dexametasona,dexametasona,dexametasona,,,
dextrose injections usp 0264751000 0264751020,dextrose injections usp 0264751000 0264751020,dextrose injections usp 0264751000 0264751020,,,
dextrose injections usp 0264 7510 00 0264 7510 20,dextrose injections usp 0264 7510 00 0264 7510 20,dextrose injections usp 0264 7510 00 0264 7510 20,,,
diclectin,diclectin,diclectin,,,
diffu k,diffu k,diffu k,,,
diffu k,diffu k,diffu k,,,
dipiperon,dipiperon,dipiperon,,,
dopegyt,dopegyt,dopegyt,,,
dormicum inj,dormicum,dormicum,,,
droleptan,droleptan,droleptan,,,
e keppra,e keppra,e keppra,,,
e keppra,e keppra,e keppra,,,
eau pour preparations injectables viaflo solvant pour pr paration par,eau pour preparations injectables viaflo solvant pour pr paration par,eau pour preparations injectables viaflo solvant pour pr paration par,,,
eau pour preparations injectables viaflo solvant pour preparation par,eau pour preparations injectables viaflo solvant pour preparation par,eau pour preparations injectables viaflo solvant pour preparation par,,,
ebastina,ebastina,ebastina,,,
ebrantil,ebrantil,ebrantil,,,
ebrantil 00631801,ebrantil 00631801,ebrantil 00631801,,,
ebrantil urapidil,ebrantil urapidil,ebrantil urapidil,,,
edicin,edicin,edicin,,,
efavirenz emtricitabine tenofovir disopro efavirenzemtricitabinetenofovir disoproxil fumarate,efavirenz emtricitabine tenofovir disopro efavirenzemtricitabinetenofovir disoproxil fumarate,efavirenz emtricitabine tenofovir disopro efavirenzemtricitabinetenofovir disoproxil,,,
efexor,efexor,efexor,,,
efexor pfizer italia srl,efexor pfizer italia srl,efexor pfizer italia srl,,,
efferalgan,efferalgan,efferalgan,,,
efferalgan 00020001 paracetamol,efferalgan 00020001 paracetamol,efferalgan 00020001 paracetamol,,,
efferalgan codeine,efferalgan codeine,efferalgan codeine,,,
egg whole,egg whole,egg whole,,,
electrolytes nosminerals,electrolytes nosminerals,electrolytes nosminerals,,,
electrolytes nosmineralssorbitol,electrolytes nosmineralssorbitol,electrolytes nosmineralssorbitol,,,
elevit,elevit,elevit,,,
elevit 01730301,elevit 01730301,elevit 01730301,,,
elisor,elisor,elisor,,,
elocom,elocom,elocom,,,
elontril,elontril,elontril,,,
elontril bupropion hydrochloride prolongedrelease tablet bupropion hydrochloride,elontril bupropion hydrochloride prolongedrelease bupropion hydrochloride,elontril bupropion prolongedrelease bupropion,,,
emesafene,emesafene,emesafene,,,
enb0040,enb0040,enb0040,,,
endoxan 00021101,endoxan 00021101,endoxan 00021101,,,
endoxan cyclophosphamide,endoxan cyclophosphamide,endoxan cyclophosphamide,,,
endoxan 1 g,endoxan 1 g,endoxan 1 g,,,
endoxan 1000 mg poudre pour solution injectable,endoxan 1000 mg poudre pour injectable,endoxan 1000 mg poudre pour injectable,,,
endoxan 1g,endoxan 1g,endoxan 1g,,,
endoxan 2000 mg lyophilisat pour solution injectable,endoxan 2000 mg lyophilisat pour injectable,endoxan 2000 mg lyophilisat pour injectable,,,
endoxan baxter,endoxan baxter,endoxan baxter,,,
endoxan cyclophosphamide 2g as monohydrate powder for injection vial,endoxan cyclophosphamide 2g as monohydrate powder for vial,endoxan cyclophosphamide 2g as monohydrate powder for vial,,,
endoxan omhulde tablet omhulde tabletten 50 mg,endoxan omhulde omhulde tabletten 50 mg,endoxan omhulde omhulde tabletten 50 mg,,,
endoxan cyclophosphamide,endoxan cyclophosphamide,endoxan cyclophosphamide,,,
entonox,entonox,entonox,,,
ephynal vit e,ephynal vit e,ephynal vit e,,,
epidural anesthesia,epidural anesthesia,epidural anesthesia,,,
epitomax,epitomax,epitomax,,,
equate migraine relief,equate migraine relief,equate migraine relief,,,
erelzi,erelzi,erelzi,,,
eremfat,eremfat,eremfat,,,
ergenyl chrono,ergenyl chrono,ergenyl chrono,,,
erwina asparaginas,erwina asparaginas,erwina asparaginas,,,
erwinia asparaginase,erwinia asparaginase,erwinia asparaginase,,,
esidrex,esidrex,esidrex,,,
eslax intravenous 25mg25ml,eslax intravenous 25mg25ml,eslax intravenous 25mg25ml,,,
esmeron,esmeron,esmeron,,,
esmya,esmya,esmya,,,
esperson n,esperson n,esperson n,,,
estrogensprogesterone,estrogensprogesterone,estrogensprogesterone,,,
etizolam,etizolam,etizolam,,,
eutirox,eutirox,eutirox,,,
eutirox levothyroxine sodium 75 microgram levothyroxine sodium,eutirox levothyroxine sodium 75 microgram levothyroxine sodium,eutirox levothyroxine 75 microgram levothyroxine,,,
eviplera,eviplera,eviplera,,,
evoltra,evoltra,evoltra,,,
excegran,excegran,excegran,,,
extra power pain reliever 120630009,extra power pain reliever 120630009,extra power pain reliever 120630009,,,
exviera,exviera,exviera,,,
elontril,elontril,elontril,,,
endoxan 1000 mg poudre pour solutioninjectable,endoxan 1000 mg poudre pour solutioninjectable,endoxan 1000 mg poudre pour solutioninjectable,,,
endoxan 50 mg comprime enrobe,endoxan 50 mg comprime enrobe,endoxan 50 mg comprime enrobe,,,
epitomax,epitomax,epitomax,,,
eremfat,eremfat,eremfat,,,
ergenyl chrono,ergenyl chrono,ergenyl chrono,,,
erwinia,erwinia,erwinia,,,
estrifam,estrifam,estrifam,,,
eurartesim,eurartesim,eurartesim,,,
fampyra,fampyra,fampyra,,,
farmiblastina,farmiblastina,farmiblastina,,,
fasturtec,fasturtec,fasturtec,,,
femaform natal,femaform natal,femaform natal,,,
femibion,femibion,femibion,,,
femibion minerals nosvitamins nos,femibion minerals nosvitamins nos,femibion minerals nosvitamins nos,,,
fentanest,fentanest,fentanest,,,
ferinject,ferinject,ferinject,,,
ferlixit,ferlixit,ferlixit,,,
ferrostrane,ferrostrane,ferrostrane,,,
ferrous gluconatecopper gluconatezinc gluconatemanganese gluconatesodium fluoridesodium iodide,ferrous gluconatecopper gluconatezinc gluconatemanganese gluconatesodium fluoridesodium iodide,ferrous gluconatecopper gluconatezinc gluconatemanganese gluconatesodium fluoridesodium iodide,,,
fibrin sealant nos,fibrin sealant nos,fibrin sealant nos,,,
finibax,finibax,finibax,,,
finlepsin,finlepsin,finlepsin,,,
first lansoprazole rx,first lansoprazole rx,first lansoprazole rx,,,
first omeprazole rx,first omeprazole rx,first omeprazole rx,,,
flixotide,flixotide,flixotide,,,
floseal hemostatic matrix,floseal hemostatic matrix,floseal hemostatic matrix,,,
floxal,floxal,floxal,,,
fludarabina fosfato 3698fo,fludarabina fosfato 3698fo,fludarabina fosfato 3698fo,,,
fluocinonide cream usp 005,fluocinonide usp 005,fluocinonide usp 005,,,
fluoresceine sodique,fluoresceine sodique,fluoresceine sodique,,,
fluorescite,fluorescite,fluorescite,,,
fluorouracil fluorouracil fluorouracil,fluorouracil fluorouracil fluorouracil,fluorouracil fluorouracil fluorouracil,,,
fluorouracil manufacturer unknown,fluorouracil manufacturer unknown,fluorouracil manufacturer unknown,,,
fluorouracile,fluorouracile,fluorouracile,,,
fluoxetin,fluoxetin,fluoxetin,,,
fluoxetin actavis,fluoxetin actavis,fluoxetin actavis,,,
fluoxetine oral solution usp,fluoxetine oral usp,fluoxetine oral usp,,,
fluticasone furoatevilanterol trifenatate,fluticasone furoatevilanterol trifenatate,fluticasone furoatevilanterol trifenatate,,,
fluticasone propionatesalmeterol xinafoate,fluticasone propionatesalmeterol xinafoate,fluticasone propionatesalmeterol xinafoate,,,
fluticasonevilanterol,fluticasonevilanterol,fluticasonevilanterol,,,
flutiform,flutiform,flutiform,,,
fluvirin 01389801,fluvirin 01389801,fluvirin 01389801,,,
fluvirin nos,fluvirin nos,fluvirin nos,,,
fluzone,fluzone,fluzone,,,
fluzone quadrivalent,fluzone quadrivalent,fluzone quadrivalent,,,
fluzone quadrivalent nos,fluzone quadrivalent nos,fluzone quadrivalent nos,,,
folinoral,folinoral,folinoral,,,
folio 00349401,folio 00349401,folio 00349401,,,
folio forte,folio forte,folio forte,,,
folsaeure,folsaeure,folsaeure,,,
foraseq,foraseq,foraseq,,,
forlax,forlax,forlax,,,
forlax 10g,forlax 10g,forlax 10g,,,
forlax macrogol 4000,forlax macrogol 4000,forlax macrogol 4000,,,
fortecortin,fortecortin,fortecortin,,,
fortecortin 00016001,fortecortin 00016001,fortecortin 00016001,,,
fortecortin 00016001,fortecortin 00016001,fortecortin 00016001,,,
fortecortin 1 mg comprimidos,fortecortin 1 mg comprimidos,fortecortin 1 mg comprimidos,,,
fortecortin 1 mg tablets 30 tablets dexamethasone,fortecortin 1 mg 30 dexamethasone,fortecortin 1 mg 30 dexamethasone,,,
fortum 00559701,fortum 00559701,fortum 00559701,,,
forxiga,forxiga,forxiga,,,
fosavance,fosavance,fosavance,,,
foster,foster,foster,,,
freeze dried glutamate bcg vaccine japan,freeze dried glutamate bcg vaccine japan,freeze dried glutamate bcg vaccine japan,,,
freezedried live attenuated varicella vaccine,freezedried live attenuated varicella vaccine,freezedried live attenuated varicella vaccine,,,
fumafer,fumafer,fumafer,,,
furanthril,furanthril,furanthril,,,
furosemida sandoz 40 mg comprimidos,furosemida sandoz 40 mg comprimidos,furosemida sandoz 40 mg comprimidos,,,
fampyra,fampyra,fampyra,,,
fampyra retard,fampyra retard,fampyra retard,,,
farmorubicine,farmorubicine,farmorubicine,,,
favipiravir,favipiravir,favipiravir,,,
fentanest,fentanest,fentanest,,,
ferrostrane,ferrostrane,ferrostrane,,,
finibax,finibax,finibax,,,
flamon 120 retard opticaps,flamon 120 retard opticaps,flamon 120 retard opticaps,,,
flixabi,flixabi,flixabi,,,
flixotide,flixotide,flixotide,,,
flixotide 125,flixotide 125,flixotide 125,,,
flixotide evohaler,flixotide evohaler,flixotide evohaler,,,
fluoxetin,fluoxetin,fluoxetin,,,
flutide,flutide,flutide,,,
flutide mite,flutide mite,flutide mite,,,
folio forte,folio forte,folio forte,,,
forlax,forlax,forlax,,,
fortecortin,fortecortin,fortecortin,,,
fostoin,fostoin,fostoin,,,
fumafer,fumafer,fumafer,,,
gcsf,gcsf,gcsf,,,
gcsf,gcsf,gcsf,,,
g csf,g csf,g csf,,,
gabalon,gabalon,gabalon,,,
gadavist,gadavist,gadavist,,,
gamma globulin,gamma globulin,gamma globulin,,,
