L1,L2,L3,L4,atc_code,CUI
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AX  Other antivirals,J05AX07,C0537439
J  ANTIINFECTIVES FOR SYSTEMIC USE,J06  IMMUNE SERA AND IMMUNOGLOBULINS,J06B  IMMUNOGLOBULINS,J06BD  Antiviral monoclonal antibodies,J06BD01,C0672596
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AC  Interleukin inhibitors,L04AC01,C0663182
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FG  VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors,L01FG01,C0796392
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01L  OCULAR VASCULAR DISORDER AGENTS,S01LA  Antineovascularisation agents,S01LA08,C0796392
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03B  VITAMIN B12 AND FOLIC ACID,B03BA  Vitamin B12 (cyanocobalamin and analogues),B03BA01,C0042845
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AE  Iron in other combinations,B03AE01,C0042845
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03B  VITAMIN B12 AND FOLIC ACID,B03BA  Vitamin B12 (cyanocobalamin and analogues),B03BA51,C0042845
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AA  Amino acids and derivatives,A16AA02,C0036002
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,A11H  OTHER PLAIN VITAMIN PREPARATIONS,A11HA  Other plain vitamin preparations,A11HA05,C0005575
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,A11H  OTHER PLAIN VITAMIN PREPARATIONS,A11HA  Other plain vitamin preparations,A11HA05,C0982111
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AF  Detoxifying agents for antineoplastic treatment,V03AF11,C0024337
B  BLOOD AND BLOOD FORMING ORGANS,B05  BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X  I.V. SOLUTION ADDITIVES,B05XB  Amino acids,B05XB03,C0024337
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AF  Detoxifying agents for antineoplastic treatment,V03AF11,C0003765
B  BLOOD AND BLOOD FORMING ORGANS,B05  BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05X  I.V. SOLUTION ADDITIVES,B05XB  Amino acids,B05XB01,C0003765
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AD  Organic acids,G01AD03,C0003968
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AD  Organic acids,G01AD03,C0178487
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11G  ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","A11GA  Ascorbic acid (vitamin C), plain",A11GA01,C0003968
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11G  ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","A11GA  Ascorbic acid (vitamin C), plain",A11GA01,C0178487
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11G  ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","A11GB  Ascorbic acid (vitamin C), combinations",A11GB01,C0003968
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11G  ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","A11GB  Ascorbic acid (vitamin C), combinations",A11GB01,C0178487
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA15,C0003968
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA15,C0178487
A  ALIMENTARY TRACT AND METABOLISM,A05  BILE AND LIVER THERAPY,"A05B  LIVER THERAPY, LIPOTROPICS",A05BA  Liver therapy,A05BA06,C0029277
A  ALIMENTARY TRACT AND METABOLISM,A05  BILE AND LIVER THERAPY,"A05B  LIVER THERAPY, LIPOTROPICS",A05BA  Liver therapy,A05BA06,C0887117
A  ALIMENTARY TRACT AND METABOLISM,A16  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A  OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AA  Amino acids and derivatives,A16AA03,C0017797
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AB  Antidotes,V03AB26,C0025646
D  DERMATOLOGICALS,D05  ANTIPSORIATICS,D05A  ANTIPSORIATICS FOR TOPICAL USE,D05AX  Other antipsoriatics for topical use,D05AX03,C0006674
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11C  VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11CC  Vitamin D and analogues,A11CC04,C0006674
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,A11H  OTHER PLAIN VITAMIN PREPARATIONS,A11HA  Other plain vitamin preparations,A11HA04,C0035527
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA26,C0035527
A  ALIMENTARY TRACT AND METABOLISM,"A09  DIGESTIVES, INCL. ENZYMES","A09A  DIGESTIVES, INCL. ENZYMES",A09AB  Acid preparations,A09AB01,C0220839
V  VARIOUS,V03  ALL OTHER THERAPEUTIC PRODUCTS,V03A  ALL OTHER THERAPEUTIC PRODUCTS,V03AB  Antidotes,V03AB32,C0017817
B  BLOOD AND BLOOD FORMING ORGANS,B05  BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05C  IRRIGATING SOLUTIONS,B05CX  Other irrigating solutions,B05CX03,C0017890
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11C  VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11CC  Vitamin D and analogues,A11CC06,C0006657
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05  CALCIUM HOMEOSTASIS,H05B  ANTI-PARATHYROID AGENTS,H05BX  Other anti-parathyroid agents,H05BX05,C0006657
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AX  Other antidepressants,N06AX02,C0041249
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11D  VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12","A11DA  Vitamin B1, plain",A11DA01,C0039840
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11C  VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11CC  Vitamin D and analogues,A11CC01,C0014695
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AE  Iron in other combinations,B03AE02,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AE  Iron in other combinations,B03AE02,C0178638
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD04,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD04,C0178638
V  VARIOUS,V04  DIAGNOSTIC AGENTS,V04C  OTHER DIAGNOSTIC AGENTS,V04CX  Other diagnostic agents,V04CX02,C0016410
V  VARIOUS,V04  DIAGNOSTIC AGENTS,V04C  OTHER DIAGNOSTIC AGENTS,V04CX  Other diagnostic agents,V04CX02,C0178638
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD01,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD01,C0178638
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03B  VITAMIN B12 AND FOLIC ACID,B03BB  Folic acid and derivatives,B03BB51,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03B  VITAMIN B12 AND FOLIC ACID,B03BB  Folic acid and derivatives,B03BB51,C0178638
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD03,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD03,C0178638
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03B  VITAMIN B12 AND FOLIC ACID,B03BB  Folic acid and derivatives,B03BB01,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03B  VITAMIN B12 AND FOLIC ACID,B03BB  Folic acid and derivatives,B03BB01,C0178638
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AE  Iron in other combinations,B03AE01,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AE  Iron in other combinations,B03AE01,C0178638
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD05,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD05,C0178638
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD02,C0016410
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03A  IRON PREPARATIONS,B03AD  Iron in combination with folic acid,B03AD02,C0178638
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA02,C0042839
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA02,C0087161
V  VARIOUS,V04  DIAGNOSTIC AGENTS,V04C  OTHER DIAGNOSTIC AGENTS,V04CB  Tests for fat absorption,V04CB01,C0042839
V  VARIOUS,V04  DIAGNOSTIC AGENTS,V04C  OTHER DIAGNOSTIC AGENTS,V04CB  Tests for fat absorption,V04CB01,C0087161
D  DERMATOLOGICALS,D10  ANTI-ACNE PREPARATIONS,D10A  ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AD  Retinoids for topical use in acne,D10AD02,C0042839
D  DERMATOLOGICALS,D10  ANTI-ACNE PREPARATIONS,D10A  ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AD  Retinoids for topical use in acne,D10AD02,C0087161
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX  Other nasal preparations,R01AX02,C0042839
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX  Other nasal preparations,R01AX02,C0087161
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11C  VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","A11CA  Vitamin A, plain",A11CA01,C0042839
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11C  VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","A11CA  Vitamin A, plain",A11CA01,C0087161
J  ANTIINFECTIVES FOR SYSTEMIC USE,J04  ANTIMYCOBACTERIALS,J04A  DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AM  Combinations of drugs for treatment of tuberculosis,J04AM08,C0034272
J  ANTIINFECTIVES FOR SYSTEMIC USE,J04  ANTIMYCOBACTERIALS,J04A  DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AM  Combinations of drugs for treatment of tuberculosis,J04AM08,C0087162
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,A11H  OTHER PLAIN VITAMIN PREPARATIONS,A11HA  Other plain vitamin preparations,A11HA02,C0034272
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,A11H  OTHER PLAIN VITAMIN PREPARATIONS,A11HA  Other plain vitamin preparations,A11HA02,C0087162
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB09,C0008318
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BX  Other drugs affecting bone structure and mineralization,M05BX53,C0008318
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB07,C0008318
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB08,C0008318
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11C  VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11CC  Vitamin D and analogues,A11CC55,C0008318
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB05,C0008318
A  ALIMENTARY TRACT AND METABOLISM,A11  VITAMINS,"A11C  VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11CC  Vitamin D and analogues,A11CC05,C0008318
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB03,C0008318
M  MUSCULO-SKELETAL SYSTEM,M05  DRUGS FOR TREATMENT OF BONE DISEASES,M05B  DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"M05BB  Bisphosphonates, combinations",M05BB04,C0008318
B  BLOOD AND BLOOD FORMING ORGANS,B02  ANTIHEMORRHAGICS,B02B  VITAMIN K AND OTHER HEMOSTATICS,B02BA  Vitamin K,B02BA02,C0025270
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10A  LIPID MODIFYING AGENTS, PLAIN",C10AA  HMG CoA reductase inhibitors,C10AA03,C0085542
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BA  Combinations of various lipid modifying agents,C10BA11,C0085542
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BA  Combinations of various lipid modifying agents,C10BA03,C0085542
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BA  Combinations of various lipid modifying agents,C10BA12,C0085542
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BX  Lipid modifying agents in combination with other drugs,C10BX02,C0085542
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AB  Selective serotonin reuptake inhibitors,N06AB08,C0085228
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","C09DX  Angiotensin II receptor blockers (ARBs), other combinations",C09DX05,C0216784
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BX  Lipid modifying agents in combination with other drugs,C10BX10,C0216784
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09DA  Angiotensin II receptor blockers (ARBs) and diuretics,C09DA03,C0216784
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09C  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","C09CA  Angiotensin II receptor blockers (ARBs), plain",C09CA03,C0216784
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","C09DX  Angiotensin II receptor blockers (ARBs), other combinations",C09DX02,C0216784
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","C09DX  Angiotensin II receptor blockers (ARBs), other combinations",C09DX01,C0216784
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09DB  Angiotensin II receptor blockers (ARBs) and calcium channel blockers,C09DB08,C0216784
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09DB  Angiotensin II receptor blockers (ARBs) and calcium channel blockers,C09DB01,C0216784
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D  ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","C09DX  Angiotensin II receptor blockers (ARBs), other combinations",C09DX04,C0216784
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS","C09BX  ACE inhibitors, other combinations",C09BX03,C0072973
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BX  Lipid modifying agents in combination with other drugs,C10BX04,C0072973
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS",C09BB  ACE inhibitors and calcium channel blockers,C09BB05,C0072973
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09A  ACE INHIBITORS, PLAIN","C09AA  ACE inhibitors, plain",C09AA05,C0072973
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BX  Lipid modifying agents in combination with other drugs,C10BX18,C0072973
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BX  Lipid modifying agents in combination with other drugs,C10BX17,C0072973
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS",C09BB  ACE inhibitors and calcium channel blockers,C09BB07,C0072973
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS","C09BX  ACE inhibitors, other combinations",C09BX05,C0072973
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10B  LIPID MODIFYING AGENTS, COMBINATIONS",C10BX  Lipid modifying agents in combination with other drugs,C10BX06,C0072973
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS",C09BA  ACE inhibitors and diuretics,C09BA05,C0072973
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XX  Other antineoplastic agents,L01XX10,C0733397
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD  Corticosteroids,R01AD04,C0060501
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"R03B  OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BA  Glucocorticoids,R03BA03,C0060501
M  MUSCULO-SKELETAL SYSTEM,M03  MUSCLE RELAXANTS,"M03B  MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BX  Other centrally acting agents,M03BX01,C0004609
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,"N06B  PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA  Centrally acting sympathomimetics,N06BA01,C0002658
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,"N06B  PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BA  Centrally acting sympathomimetics,N06BA01,C0011812
V  VARIOUS,V04  DIAGNOSTIC AGENTS,V04C  OTHER DIAGNOSTIC AGENTS,V04CG  Tests for gastric secretion,V04CG04,C0030859
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07B  DRUGS USED IN ADDICTIVE DISORDERS,N07BA  Drugs used in nicotine dependence,N07BA01,C0028040
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07A  PARASYMPATHOMIMETICS,N07AX  Other parasympathomimetics,N07AX03,C0093437
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05B  ANXIOLYTICS,N05BA  Benzodiazepine derivatives,N05BA56,C0024002
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05B  ANXIOLYTICS,N05BA  Benzodiazepine derivatives,N05BA06,C0024002
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07A  BETA BLOCKING AGENTS,"C07AB  Beta blocking agents, selective",C07AB09,C0116569
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XG  Proteasome inhibitors,L01XG01,C1176309
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,N05CM  Other hypnotics and sedatives,N05CM08,C0014987
A  ALIMENTARY TRACT AND METABOLISM,"A08  ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","A08A  ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AA  Centrally acting antiobesity products,A08AA01,C0031447
A  ALIMENTARY TRACT AND METABOLISM,"A08  ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","A08A  ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AA  Centrally acting antiobesity products,A08AA51,C0031447
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ16,C0040610
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ13,C0040610
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ14,C0040610
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AX  Other opioids,N02AX02,C0040610
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AB  Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB03,C0042646
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01A  ANTIINFECTIVES,S01AD  Antivirals,S01AD06,C0042646
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01ED  Beta blocking agents,S01ED02,C0005320
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07A  BETA BLOCKING AGENTS,"C07AB  Beta blocking agents, selective",C07AB05,C0005320
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01ED  Beta blocking agents,S01ED52,C0005320
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01R  COMBINATIONS OF ANTIBACTERIALS,J01RA  Combinations of antibacterials,J01RA07,C0016277
J  ANTIINFECTIVES FOR SYSTEMIC USE,J02  ANTIMYCOTICS FOR SYSTEMIC USE,J02A  ANTIMYCOTICS FOR SYSTEMIC USE,J02AC  Triazole and tetrazole derivatives,J02AC01,C0016277
D  DERMATOLOGICALS,D01  ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A  ANTIFUNGALS FOR TOPICAL USE,D01AC  Imidazole and triazole derivatives,D01AC15,C0016277
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BG  Thiazolidinediones,A10BG01,C0245514
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AH  Neuraminidase inhibitors,J05AH02,C0874161
